twilight,1,10
plum,1,9
violet,1,8
lavender,4,7
desert,4,6
heliotrope,7,7
eggplant,8,7
amethyst,9,7
rainbow,11,7
forest,20,7
jungle,22,10
chartreuse,22,9
sapphire,16,4
cobalt,17,4
lake,16,3
ocean,16,1
hub,18,1
carrot,1,5
pumpkin,1,4
tangerine,1,3
sunset,1,1
